component,input_usd_per_unit,unit,as_of_year_usd_per_unit_before_contingency,source_status,source,note
solar,1120.0,kWdc,1188.2079999999999,published benchmark,https://www.energy.gov/cmei/systems/solar-photovoltaic-system-cost-benchmarks,Utility PV-only MMP 1.12 USD/Wdc and O&M 20 USD/kWdc-year. PV+240 MWh ESS on 100 MWdc is 1.81 USD/Wdc.
electrolyzer,1900.0,kW,2015.7099999999998,historical project estimate,https://www.energy.gov/sites/default/files/2024-05/hfto-mypp-2024.pdf,Hub applicants' estimated installed PEM cost averages approximately 1900 USD/kW. Not the 2026 R&D target or a vendor offer.
dac,9636.0,kg_co2_per_hour,10222.8324,"unverified legacy basis, corrected units",Model_4_CarbonCredit/saf_optimization_model4.py,"The comment states 1100 USD/(tonne CO2/year) of nameplate capture. Conversion: 1100*8760/1000=9636 USD/(kg/hour), not 126. Assumes 8760-hour nameplate, not actual utilization. A supplier quote is still needed."
rwgs,3500.0,kg_co_per_hour,3713.1499999999996,engineering assumption from latest manuscript,paper_latex.tex,3500/5000/2000 USD per kg/hour for RWGS/FT/upgrading. Dollar vintage assigned 2024. These conflict with old executable values; no supporting Aspen file or vendor quotes are present.
ft,5000.0,kg_syncrude_per_hour,5304.5,engineering assumption from latest manuscript,paper_latex.tex,3500/5000/2000 USD per kg/hour for RWGS/FT/upgrading. Dollar vintage assigned 2024. These conflict with old executable values; no supporting Aspen file or vendor quotes are present.
upgrading,2000.0,kg_saf_per_hour,2121.7999999999997,engineering assumption from latest manuscript,paper_latex.tex,3500/5000/2000 USD per kg/hour for RWGS/FT/upgrading. Dollar vintage assigned 2024. These conflict with old executable values; no supporting Aspen file or vendor quotes are present.
h2_storage,700.0,kg_h2,742.63,unverified engineering assumption,Model_3_Byproducts/assumptions_used.json,Storage costs and most process inputs retained as explicit assumptions. RWGS H2 is rounded to stoichiometric 2/28 kg per kg CO. No claim of independent Aspen validation.
co2_storage,80.0,kg_co2,84.872,unverified engineering assumption,Model_3_Byproducts/assumptions_used.json,Storage costs and most process inputs retained as explicit assumptions. RWGS H2 is rounded to stoichiometric 2/28 kg per kg CO. No claim of independent Aspen validation.
battery_power,120.0,kW,127.30799999999999,derived estimate,doe_pv_2025,(1.81-1.12)*100e6/240e3 = 287.5 USD/kWh at four hours. Assume power cost 120 USD/kW; energy residual 257.5 USD/kWh. Linear extension to 2-8 hour duration is an engineering assumption.
battery_energy,257.5,kWh,273.18174999999997,derived estimate,doe_pv_2025,(1.81-1.12)*100e6/240e3 = 287.5 USD/kWh at four hours. Assume power cost 120 USD/kW; energy residual 257.5 USD/kWh. Linear extension to 2-8 hour duration is an engineering assumption.
heater,100.0,kWth,106.08999999999999,engineering assumptions requiring validation,,"3% annual escalation; PV 14% losses, 0.95 lifetime derating; H2/CO2 compression; heater costs; 80% heat recovery; catalyst/sorbent costs; storage flow limits; 20% process contingency; 15-year 60% battery replacement. FT heat 4.3 MJ/kg and upgrading heat 1.2 MJ/kg follow Model 2 README (divide by 3.6). DAC/RWGS thermal duties follow executable kWh/kg basis; unit conflict retained in sensitivity."
